Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
7446,EU.2726.31,P,person,SA,
7447,EU.2727.93,P,person,KW,
7474,EU.2936.59,P,person,SA,
7475,EU.2937.24,P,person,SA,
7476,EU.2938.86,P,person,NO,
7477,EU.2939.51,P,person,SA,
7478,EU.3727.94,P,person,TN,
7479,EU.3728.59,P,person,QA,
7480,EU.3729.24,P,person,KW,
7481,EU.3497.12,P,person,SY,
7482,EU.2912.3,P,person,IQ,
7483,EU.2913.65,P,person,KW,
7484,EU.2914.30,P,person,IQ,
7485,EU.3402.81,P,person,FR,
7486,EU.4191.37,P,person,FR,
7487,EU.2917.22,P,person,SN,
7491,EU.3713.39,P,person,AF,
7492,EU.3714.4,P,person,AF,
7493,EU.3715.66,P,person,AF,
7540,EU.3967.28,P,person,YE,
7541,EU.3970.80,P,person,YE,
7547,EU.2925.93,P,person,JO,
7548,EU.2940.76,P,person,QA,
7549,EU.2941.41,P,person,GE,
7596,EU.2897.65,P,person,ID,
7597,EU.842.69,P,person,ID,
7598,EU.2956.61,P,person,ID,
7601,EU.3491.28,P,person,TN,
7602,EU.3492.90,P,person,TN,
105596,EU.3803.3,P,person,SS,South Sudan
105618,EU.3805.30,P,person,SD,South Sudan
105631,EU.3806.92,P,person,SD,South Sudan
105748,EU.3718.58,P,person,AF,
105954,EU.3112.90,E,enterprise,SY,
106123,EU.3975.2,P,person,CF,
106138,EU.3881.81,P,person,CF,
106144,EU.3882.46,P,person,SD,
106224,EU.3093.1,P,person,LY,
106385,EU.175.57,P,person,QA,
106389,EU.205.12,P,person,QA,
106457,EU.2418.65,P,person,BI,
106532,EU.3195.90,P,person,GB,
106534,EU.3174.26,P,person,GB,
106536,EU.3141.31,P,person,GB,
106538,EU.3403.46,P,person,TN,
106538,EU.3403.46,P,person,FR,
106540,EU.3404.11,P,person,FR,
106542,EU.3405.73,P,person,FR,
106546,EU.3196.55,P,person,YE,
106548,EU.3175.88,P,person,SA,
106554,EU.3177.18,P,person,GB,
106584,EU.3143.58,P,person,RU,
106654,EU.3167.17,P,person,RU,
106715,EU.3563.17,P,person,RU,
106732,EU.3155.86,P,person,RU,
106750,EU.3478.72,P,person,RU,
106773,EU.3156.51,P,person,RU,
107679,EU.3428.67,P,person,LY,
107681,EU.3429.32,P,person,TJ,
107683,EU.3430.57,P,person,BA,
107685,EU.3431.22,P,person,SA,
107687,EU.3432.84,P,person,MA,
107689,EU.3433.49,P,person,SY,
107691,EU.3434.14,P,person,LY,
107693,EU.3435.76,P,person,TN,
107695,EU.3436.41,P,person,EG,
107697,EU.3437.6,P,person,FR,
107699,EU.3438.68,P,person,DZ,
107804,EU.4117.13,P,person,KP,
107806,EU.4118.75,P,person,KP,
107808,EU.4119.40,P,person,KP,
107810,EU.4120.65,P,person,KP,
107812,EU.4121.30,P,person,KP,
107814,EU.4122.92,P,person,KP,
107816,EU.4123.57,P,person,KP,
107818,EU.4144.24,P,person,KP,
107820,EU.4145.86,P,person,KP,
107822,EU.4146.51,P,person,KP,
107828,EU.4148.78,P,person,KP,
107830,EU.4149.43,P,person,KP,
107832,EU.4150.68,P,person,KP,
107834,EU.4162.96,P,person,KP,
107938,EU.4147.16,P,person,KP,
108086,EU.3885.38,P,person,UG,Uganda Passport
108437,EU.3488.73,P,person,SA,
108458,EU.3336.76,P,person,PS,
108470,EU.3337.41,P,person,ID,
108672,EU.4068.18,P,person,KP,
109183,EU.3619.58,P,person,AF,
109244,EU.3587.73,P,person,RU,
109264,EU.3588.38,P,person,RU,
109324,EU.3618.93,P,person,AF,
109750,EU.3664.44,P,person,AF,
109887,EU.3544.77,P,person,SY,
110264,EU.4163.61,P,person,KP,
110269,EU.4164.26,P,person,KP,
110276,EU.4165.88,P,person,KP,
110281,EU.4166.53,P,person,KP,
110286,EU.4167.18,P,person,KP,
110291,EU.4168.80,P,person,KP,
110298,EU.4169.45,P,person,KP,
110302,EU.4170.70,P,person,KP,
110307,EU.4186.55,P,person,KP,
110317,EU.4069.80,P,person,KP,
110350,EU.3504.73,P,person,CD,
110370,EU.3520.21,P,person,CD,
110425,EU.4080.9,P,person,RU,
110491,EU.3572.53,P,person,CA,
110500,EU.3578.37,P,person,AU,
110845,EU.3635.6,P,person,PS,
110845,EU.3635.6,P,person,SY,
110874,EU.3759.27,P,person,YE,
111143,EU.3629.59,P,person,JO,
112075,EU.3838.25,P,person,CF,
112075,EU.3838.25,P,person,TD,
112114,EU.3832.41,P,person,CD,
112270,EU.4070.8,P,person,KP,
112276,EU.4071.70,P,person,KP,
112286,EU.4072.35,P,person,KP,
112291,EU.4073.0,P,person,KP,
112303,EU.4074.62,P,person,KP,
112309,EU.4075.27,P,person,KP,
112314,EU.4076.89,P,person,KP,
112320,EU.4083.1,P,person,KP,
112332,EU.4084.63,P,person,KP,
112342,EU.4085.28,P,person,KP,
112348,EU.4086.90,P,person,KP,
112353,EU.4087.55,P,person,KP,
112358,EU.4088.20,P,person,KP,
112364,EU.4089.82,P,person,KP,
112597,EU.3818.23,P,person,DE,
112597,EU.3818.23,P,person,DZ,
112957,EU.3855.35,P,person,CD,
